not mapped	-	replaced by/mapped	-	Mapped to	-	Remarks (April 2012)
Q86YL6	=	A7KAX9	=	9743	=	the replacement A7KAX9 does not exist in ncbi
	=	O00139	=	3796	=	
	=	O00141	=	6446	=	
	=	O00144	=	8326	=	
	=	O00198	=	8739	=	
	=	O00206	=	7099	=	
	=	O00213	=	322	=	
	=	O00220	=	8797	=	
	=	O00221	=	4794	=	
	=	O00238	=	658	=	
	=	O00253	=	181	=	
	=	O00254	=	2151	=	
	=	O00257	=	8535	=	
	=	O00273	=	1676	=	
	=	O00291	=	3092	=	
	=	O00300	=	4982	=	
	=	O00327	=	406	=	
	=	O00401	=	8976	=	
	=	O00418	=	29904	=	
	=	O00422	=	10284	=	
	=	O00443	=	5286	=	
	=	O00444	=	10733	=	
	=	O00451	=	2675	=	
	=	O00471	=	10640	=	
	=	O00499	=	274	=	
	=	O00512	=	607	=	
	=	O00548	=	28514	=	
	=	O00559	=	9166	=	
	=	O00560	=	6386	=	
	=	O00622	=	3491	=	
	=	O00712	=	4781	=	
	=	O00716	=	1871	=	
	=	O00748	=	8824	=	
	=	O00750	=	5287	=	
	=	O00755	=	7476	=	
	=	O14492	=	10603	=	
	=	O14494	=	8611	=	
	=	O14503	=	8553	=	
	=	O14508	=	8835	=	
	=	O14511	=	9542	=	
	=	O14543	=	9021	=	
	=	O14578	=	11113	=	
	=	O14593	=	8625	=	
	=	O14594	=	1463	=	
	=	O14595	=	10106	=	
	=	O14610	=	2793	=	
	=	O14625	=	6373	=	
	=	O14627	=	1046	=	
	=	O14640	=	1855	=	
	=	O14641	=	1856	=	
	=	O14653	=	9570	=	
	=	O14656	=	1861	=	
	=	O14672	=	102	=	
	=	O14727	=	317	=	
	=	O14733	=	5609	=	
	=	O14744	=	10419	=	
	=	O14745	=	9368	=	
	=	O14746	=	7015	=	
	=	O14757	=	1111	=	
	=	O14763	=	8795	=	
	=	O14775	=	10681	=	
	=	O14777	=	10403	=	
	=	O14786	=	8829	=	
	=	O14788	=	8600	=	
	=	O14795	=	10497	=	
	=	O14798	=	8794	=	
	=	O14827	=	5924	=	
	=	O14836	=	23495	=	
	=	O14908	=	10755	=	
	=	O14920	=	3551	=	
	=	O14936	=	8573	=	
	=	O14939	=	5338	=	
	=	O14944	=	2069	=	
	=	O14948	=	22797	=	
	=	O14960	=	3950	=	
	=	O14964	=	9146	=	
	=	O14965	=	6790	=	
	=	O14974	=	4659	=	
	=	O14980	=	7514	=	
	=	O14986	=	8395	=	
	=	O15013	=	9639	=	
	=	O15055	=	8864	=	
	=	O15068	=	23263	=	
	=	O15085	=	9826	=	
	=	O15105	=	4092	=	
	=	O15111	=	1147	=	
	=	O15117	=	2533	=	
	=	O15123	=	285	=	
	=	O15127	=	10066	=	
	=	O15143	=	10095	=	
	=	O15144	=	10109	=	
	=	O15145	=	10094	=	
	=	O15151	=	4194	=	
	=	O15164	=	8805	=	
	=	O15169	=	8312	=	
	=	O15178	=	6862	=	
	=	O15194	=	10217	=	
	=	O15198	=	4093	=	
	=	O15230	=	3911	=	
	=	O15264	=	5603	=	
	=	O15287	=	2189	=	
	=	O15297	=	8493	=	
	=	O15350	=	7161	=	
	=	O15357	=	3636	=	
	=	O15360	=	2175	=	
	=	O15379	=	8841	=	
	=	O15392	=	332	=	
	=	O15393	=	7113	=	
	=	O15455	=	7098	=	
	=	O15511	=	10092	=	
	=	O15516	=	9575	=	
	=	O15519	=	8837	=	
	=	O15524	=	8651	=	
	=	O15525	=	4097	=	
	=	O15527	=	4968	=	
	=	O15530	=	5170	=	
	=	O15534	=	5187	=	
	=	O43150	=	8853	=	
	=	O43182	=	395	=	
	=	O43184	=	8038	=	
	=	O43187	=	3656	=	
	=	O43294	=	7041	=	
	=	O43306	=	112	=	
	=	O43307	=	23229	=	
	=	O43312	=	9788	=	
	=	O43318	=	6885	=	
	=	O43323	=	50846	=	
	=	O43353	=	8767	=	
	=	O43374	=	10156	=	
	=	O43426	=	8867	=	
	=	O43463	=	6839	=	
	=	O43474	=	9314	=	
	=	O43497	=	8913	=	
	=	O43516	=	7456	=	
	=	O43521	=	10018	=	
	=	O43524	=	2309	=	
	=	O43541	=	4091	=	
	=	O43542	=	7517	=	
	=	O43559	=	10817	=	
	=	O43561	=	27040	=	
	=	O43597	=	10253	=	
	=	O43602	=	1641	=	
	=	O43623	=	6591	=	
	=	O43639	=	8440	=	
	=	O43663	=	9055	=	
	=	O43683	=	699	=	
	=	O43684	=	9184	=	
	=	O43707	=	81	=	
	=	O43715	=	51499	=	
	=	O43739	=	9265	=	
	=	O43763	=	3196	=	
	=	O43791	=	8405	=	
	=	O43815	=	6801	=	
	=	O43854	=	10085	=	
	=	O43903	=	2620	=	
	=	O43915	=	2277	=	
	=	O43921	=	1943	=	
	=	O43927	=	10563	=	
	=	O60229	=	8997	=	
	=	O60238	=	665	=	
	=	O60239	=	9467	=	
	=	O60260	=	5071	=	
	=	O60266	=	109	=	
	=	O60271	=	9043	=	
	=	O60331	=	23396	=	
	=	O60341	=	23028	=	
	=	O60343	=	9882	=	
	=	O60353	=	8323	=	
	=	O60381	=	26959	=	
	=	O60447	=	7813	=	
	=	O60462	=	8828	=	
	=	O60469	=	1826	=	
	=	O60496	=	9046	=	
	=	O60500	=	4868	=	
	=	O60503	=	115	=	
	=	O60542	=	5623	=	
	=	O60565	=	26585	=	
	=	O60566	=	701	=	
	=	O60602	=	7100	=	
	=	O60603	=	7097	=	
	=	O60609	=	2676	=	
	=	O60610	=	1729	=	
	=	O60645	=	11336	=	
	=	O60671	=	5810	=	
	=	O60674	=	3717	=	
	=	O60716	=	1500	=	
	=	O60721	=	9187	=	
	=	O60729	=	8555	=	
	=	O60749	=	6643	=	
	=	O60756	=	7091	=	
	=	O60763	=	8615	=	
	=	O60784	=	10043	=	
	=	O60832	=	1736	=	
	=	O60880	=	4068	=	
	=	O60890	=	4983	=	
	=	O60906	=	6610	=	
	=	O60907	=	6907	=	
	=	O60921	=	3364	=	
	=	O60934	=	4683	=	
	=	O75030	=	4286	=	
	=	O75056	=	9672	=	
	=	O75081	=	863	=	
	=	O75084	=	8324	=	
	=	O75093	=	6585	=	
	=	O75116	=	9475	=	
	=	O75143	=	9776	=	
	=	O75154	=	9727	=	
	=	O75159	=	9655	=	
	=	O75182	=	23309	=	
	=	O75197	=	4041	=	
	=	O75293	=	4616	=	
	=	O75306	=	4720	=	
	=	O75342	=	242	=	
	=	O75351	=	9525	=	
	=	O75365	=	11156	=	
	=	O75367	=	9555	=	
	=	O75376	=	9611	=	
	=	O75385	=	8408	=	
	=	O75410	=	6867	=	
	=	O75444	=	4094	=	
	=	O75446	=	8819	=	
	=	O75449	=	11104	=	
	=	O75461	=	1876	=	
	=	O75486	=	8464	=	
	=	O75534	=	7812	=	
	=	O75553	=	1600	=	
	=	O75569	=	8575	=	
	=	O75578	=	8515	=	
	=	O75581	=	4040	=	
	=	O75582	=	9252	=	
	=	O75593	=	8928	=	
	=	O75618	=	9191	=	
	=	O75626	=	639	=	
	=	O75676	=	8986	=	
	=	O75689	=	11033	=	
	=	O75787	=	10159	=	
	=	O75791	=	9402	=	
	=	O75807	=	23645	=	
	=	O75815	=	8412	=	
	=	O75886	=	10254	=	
	=	O75909	=	8812	=	
	=	O75911	=	9249	=	
	=	O75914	=	5063	=	
	=	O75916	=	8787	=	
	=	O75925	=	8554	=	
	=	O75928	=	9063	=	
	=	O75943	=	5884	=	
	=	O75962	=	7204	=	
	=	O76050	=	9148	=	
	=	O76054	=	23541	=	
	=	O76064	=	9025	=	
	=	O76075	=	1677	=	
	=	O76080	=	7763	=	
	=	O76083	=	5152	=	
	=	O94776	=	9219	=	
	=	O94782	=	7398	=	
	=	O94813	=	9353	=	
	=	O94864	=	9913	=	
	=	O94887	=	9855	=	
	=	O94907	=	22943	=	
	=	O94989	=	22899	=	
	=	O95067	=	9133	=	
	=	O95136	=	9294	=	
	=	O95155	=	10277	=	
	=	O95185	=	8633	=	
	=	O95235	=	10112	=	
	=	O95237	=	9227	=	
	=	O95238	=	25803	=	
	=	O95251	=	11143	=	
	=	O95256	=	8807	=	
	=	O95257	=	10912	=	
	=	O95267	=	10125	=	
	=	O95271	=	8658	=	
	=	O95294	=	8437	=	
	=	O95347	=	10592	=	
	=	O95382	=	9064	=	
	=	O95405	=	9372	=	
	=	O95425	=	6840	=	
	=	O95429	=	9530	=	
	=	O95470	=	8879	=	
	=	O95477	=	19	=	
	=	O95551	=	51567	=	
	=	O95600	=	11279	=	
	=	O95619	=	8089	=	
	=	O95622	=	111	=	
	=	O95630	=	10617	=	
	=	O95631	=	9423	=	
	=	O95644	=	4772	=	
	=	O95750	=	9965	=	
	=	O95782	=	160	=	
	=	O95813	=	9350	=	
	=	O95819	=	9448	=	
	=	O95831	=	9131	=	
	=	O95832	=	9076	=	
	=	O95837	=	9630	=	
	=	O95841	=	9068	=	
	=	O95843	=	9626	=	
	=	O95863	=	6615	=	
	=	O95936	=	8320	=	
	=	O95977	=	8698	=	
	=	O95983	=	53615	=	
	=	O95999	=	8915	=	
	=	O96013	=	10298	=	
	=	O96017	=	11200	=	
	=	O96019	=	86	=	
	=	O96020	=	9134	=	
	=	P00338	=	3939	=	
	=	P00374	=	1719	=	
	=	P00403	=	4513	=	
	=	P00441	=	6647	=	
	=	P00450	=	1356	=	
	=	P00488	=	2162	=	
	=	P00519	=	25	=	
	=	P00533	=	1956	=	
	=	P00558	=	5230	=	
	=	P00734	=	2147	=	
	=	P00742	=	2159	=	
	=	P00747	=	5340	=	
	=	P00749	=	5328	=	
	=	P00750	=	5327	=	
	=	P00813	=	100	=	
	=	P00915	=	759	=	
	=	P01008	=	462	=	
	=	P01009	=	5265	=	
	=	P01019	=	183	=	
	=	P01023	=	2	=	
	=	P01024	=	718	=	
	=	P01033	=	7076	=	
	=	P01042	=	3827	=	
	=	P01100	=	2353	=	
	=	P01106	=	4609	=	
	=	P01111	=	4893	=	
	=	P01112	=	3265	=	
	=	P01116	=	3845	=	
	=	P01127	=	5155	=	
	=	P01133	=	1950	=	
	=	P01135	=	7039	=	
	=	P01137	=	7040	=	
	=	P01138	=	4803	=	
	=	P01148	=	2796	=	
	=	P01160	=	4878	=	
	=	P01189	=	5443	=	
	=	P01210	=	5179	=	
	=	P01215	=	1081	=	
	=	P01236	=	5617	=	
	=	P01275	=	2641	=	
	=	P01308	=	3630	=	
	=	P01344	=	3481	=	
	=	P01374	=	4049	=	
	=	P01375	=	7124	=	
	=	P01562	=	3439	=	
	=	P01562	=	3447	=	
	=	P01563	=	3440	=	
	=	P01566	=	3446	=	
	=	P01567	=	3444	=	
	=	P01568	=	3452	=	
	=	P01569	=	3442	=	
	=	P01570	=	3448	=	
	=	P01571	=	3451	=	
	=	P01574	=	3456	=	
	=	P01579	=	3458	=	
	=	P01583	=	3552	=	
	=	P01584	=	3553	=	
	=	P01588	=	2056	=	
	=	P01589	=	3559	=	
	=	P01730	=	920	=	
	=	P01732	=	925	=	
	=	P01833	=	5284	=	
	=	P01903	=	3122	=	
	=	P02452	=	1277	=	
	=	P02458	=	1280	=	
	=	P02461	=	1281	=	
	=	P02462	=	1282	=	
	=	P02533	=	3861	=	
	=	P02545	=	4000	=	
	=	P02647	=	335	=	
	=	P02671	=	2243	=	
	=	P02675	=	2244	=	
	=	P02679	=	2266	=	
	=	P02708	=	1134	=	
	=	P02735	=	6288	=	
	=	P02735	=	6289	=	
	=	P02741	=	1401	=	
	=	P02751	=	2335	=	
	=	P02765	=	197	=	
	=	P02766	=	7276	=	
	=	P02768	=	213	=	
	=	P02771	=	174	=	
	=	P02776	=	5196	=	
	=	P02778	=	3627	=	
	=	P02786	=	7037	=	
	=	P02787	=	7018	=	
	=	P02794	=	2495	=	
	=	P02795	=	4502	=	
	=	P02818	=	632	=	
	=	P03126	=	1489078	=	
	=	P03372	=	2099	=	
	=	P03956	=	4312	=	
	=	P03971	=	268	=	
	=	P04003	=	722	=	
	=	P04004	=	7448	=	
	=	P04040	=	847	=	
	=	P04049	=	5894	=	
	=	P04053	=	1791	=	
	=	P04054	=	5319	=	
	=	P04070	=	5624	=	
	=	P04075	=	226	=	
	=	P04085	=	5154	=	
	=	P04114	=	338	=	
	=	P04141	=	1437	=	
	=	P04150	=	2908	=	
	=	P04155	=	7031	=	
	=	P04156	=	5621	=	
	=	P04179	=	6648	=	
	=	P04183	=	7083	=	
	=	P04216	=	7070	=	
	=	P04234	=	915	=	
	=	P04264	=	3848	=	
	=	P04278	=	6462	=	
	=	P04406	=	2597	=	
	=	P04439	=	3105	=	
	=	P04601	=	156110	=	
	=	P04608	=	155871	=	
	=	P04626	=	2064	=	
	=	P04628	=	7471	=	
	=	P04629	=	4914	=	
	=	P04637	=	7157	=	
	=	P04792	=	3315	=	
	=	P04818	=	7298	=	
	=	P04839	=	1536	=	
	=	P04899	=	2771	=	
	=	P05013	=	3443	=	
	=	P05014	=	3441	=	
	=	P05015	=	3449	=	
P01343	=	P05019	=	3479	=	
	=	P05062	=	229	=	
	=	P05067	=	351	=	
	=	P05089	=	383	=	
	=	P05106	=	3690	=	
	=	P05107	=	3689	=	
	=	P05109	=	6279	=	
	=	P05112	=	3565	=	
	=	P05113	=	3567	=	
	=	P05121	=	5054	=	
	=	P05129	=	5582	=	
	=	P05164	=	4353	=	
	=	P05198	=	1965	=	
	=	P05230	=	2246	=	
	=	P05231	=	3569	=	
	=	P05305	=	1906	=	
	=	P05362	=	3383	=	
	=	P05412	=	3725	=	
	=	P05423	=	661	=	
	=	P05549	=	7020	=	
	=	P05556	=	3688	=	
	=	P05771	=	5579	=	
	=	P05783	=	3875	=	
	=	P05787	=	3856	=	
	=	P05814	=	1447	=	
	=	P05997	=	1290	=	
	=	P06213	=	3643	=	
	=	P06239	=	3932	=	
	=	P06241	=	2534	=	
	=	P06396	=	2934	=	
Q5VW46	=	P06400	=	5925	=	
	=	P06400	=	5925	=	
	=	P06401	=	5241	=	
	=	P06454	=	5757	=	
	=	P06493	=	983	=	
	=	P06702	=	6280	=	
	=	P06730	=	1977	=	
	=	P06732	=	1158	=	
	=	P06733	=	2023	=	
	=	P06734	=	2208	=	
	=	P06748	=	4869	=	
	=	P06756	=	3685	=	
	=	P06850	=	1392	=	
	=	P07101	=	7054	=	
	=	P07199	=	1059	=	
	=	P07203	=	2876	=	
	=	P07204	=	7056	=	
	=	P07288	=	354	=	
	=	P07332	=	2242	=	
	=	P07333	=	1436	=	
	=	P07339	=	1509	=	
	=	P07384	=	823	=	
	=	P07385	=	1486086	=	
	=	P07476	=	3713	=	
	=	P07550	=	154	=	
	=	P07585	=	1634	=	
	=	P07766	=	916	=	
	=	P07900	=	3320	=	
	=	P07910	=	3183	=	
	=	P07942	=	3912	=	
	=	P07947	=	7525	=	
	=	P07948	=	4067	=	
	=	P07949	=	5979	=	
	=	P07996	=	7057	=	
	=	P08047	=	6667	=	
	=	P08069	=	3480	=	
	=	P08100	=	6010	=	
